,eid,title,publicationName,coverDate,refcount,citedby_count,doi
0,2-s2.0-85090997229,A Study on Volt-Var Curve of Smart Inverter to Improve Hosting Capacity,Transactions of the Korean Institute of Electrical Engineers,2020-09-01,12,5,10.5370/KIEE.2020.69.9.1312
0,2-s2.0-85079040142,Secondary VAr Controllers: A New Approach to Increase Solar Hosting Capacity in Distribution Grids,IEEE Power and Energy Society General Meeting,2019-08-01,9,5,10.1109/PESGM40551.2019.8973690
0,2-s2.0-85067468140,Hosting capacity estimation of underground distribution feeder in Urbain Areas,"2019 International Conference on Wireless Technologies, Embedded and Intelligent Systems, WITS 2019",2019-04-01,8,5,10.1109/WITS.2019.8723822
0,2-s2.0-85138724067,Increase the hosting capacity of four-wire low-voltage supply network for embedded solar generators by optimising generator and load placement on the three supply phases,CIRED - Open Access Proceedings Journal,2017-10-01,11,4,10.1049/oap-cired.2017.0026
0,2-s2.0-79957871904,Decentralized approaches for voltage rise mitigation in low voltage grids-a case study Dezentrale Verfahren zur Spannungshaltung in Niederspannungsnetzen - eine Fallstudie,Elektrotechnik und Informationstechnik,2011-04-01,13,4,10.1007/s00502-011-0817-7
0,2-s2.0-85106442582,Comparison of economical and technical photovoltaic hosting capacity limits in distribution networks,Energies,2021-05-01,37,4,10.3390/en14092405
0,2-s2.0-85118261552,Grid-Aware Aggregation and Realtime Disaggregation of Distributed Energy Resources in Radial Networks,IEEE Transactions on Power Systems,2022-05-01,37,4,10.1109/TPWRS.2021.3121215
0,2-s2.0-85138724607,Performance indicators for quantifying the ability of the grid to host renewable electricity production,CIRED - Open Access Proceedings Journal,2017-10-01,27,4,10.1049/oap-cired.2017.0178
0,2-s2.0-84988447819,Optimal sizing of renewable energy plant-storage system for network support,EEEIC 2016 - International Conference on Environment and Electrical Engineering,2016-08-29,20,4,10.1109/EEEIC.2016.7555856
0,2-s2.0-85056502100,Hosting Capacity Analysis: A Review and a New Evaluation Method in Case of Parameters Uncertainty and Multi-Generator,"Proceedings - 2018 IEEE International Conference on Environment and Electrical Engineering and 2018 IEEE Industrial and Commercial Power Systems Europe, EEEIC/I and CPS Europe 2018",2018-10-16,57,4,10.1109/EEEIC.2018.8494572
0,2-s2.0-84877259288,Improving capacity utilization - Low voltage grids with high photovoltaic penetration,CIGRE 2011 Bologna Symposium - The Electric Power System of the Future: Integrating Supergrids and Microgrids,2011-12-01,5,4,
0,2-s2.0-85060831083,Increasing Feeder PV Hosting Capacity by Regulating Secondary Circuit Voltages,IEEE Power and Energy Society General Meeting,2018-12-21,12,4,10.1109/PESGM.2018.8586615
0,2-s2.0-85081084121,Improving Hosting Capacity of Unbalanced Distribution Networks via Battery Energy Storage Systems,"Asia-Pacific Power and Energy Engineering Conference, APPEEC",2019-12-01,20,4,10.1109/APPEEC45492.2019.8994587
0,2-s2.0-85060795553,Sequential Mitigation Solutions to Enable Distributed PV Grid Integration,IEEE Power and Energy Society General Meeting,2018-12-21,13,4,10.1109/PESGM.2018.8586525
0,2-s2.0-85060203830,Using Multi-Terminal DC Networks to Improve the Hosting Capacity of Distribution Networks,"Proceedings - 2018 IEEE PES Innovative Smart Grid Technologies Conference Europe, ISGT-Europe 2018",2018-12-10,38,4,10.1109/ISGTEurope.2018.8571622
0,2-s2.0-85107464256,A global power quality index for assessment in distributed energy systems connected to a harmonically polluted network,"Energy Sources, Part A: Recovery, Utilization and Environmental Effects",2021-01-01,55,4,10.1080/15567036.2021.1929577
